timestamp,balance,unrealized_pnl,equity,drawdown_dollar,drawdown_pct,open_positions,exposure
2022-01-01 00:00:00.006000+00:00,3000.0,0.0,3000.0,0.0,0.0,0,0.0
2022-01-01 08:00:00.009000+00:00,3000.0,0.0,3000.0,0.0,0.0,0,0.0
2022-01-01 16:00:00+00:00,3000.0,0.0,3000.0,0.0,0.0,0,0.0
2022-01-02 00:00:00.028000+00:00,3000.0,0.0,3000.0,0.0,0.0,0,0.0
2022-01-02 08:00:00+00:00,3000.0,0.0,3000.0,0.0,0.0,0,0.0
2022-01-02 16:00:00+00:00,3000.0,0.0,3000.0,0.0,0.0,0,0.0
2022-01-03 00:00:00.010000+00:00,3000.0,0.0,3000.0,0.0,0.0,0,0.0
2022-01-03 08:00:00.013000+00:00,3000.0,0.0,3000.0,0.0,0.0,0,0.0
2022-01-03 16:00:00.018000+00:00,3000.0,0.0,3000.0,0.0,0.0,0,0.0
2022-01-04 00:00:00+00:00,3000.0,0.0,3000.0,0.0,0.0,0,0.0
2022-01-04 08:00:00.010000+00:00,3000.0,0.0,3000.0,0.0,0.0,0,0.0
2022-01-04 16:00:00.002000+00:00,3000.0,0.0,3000.0,0.0,0.0,0,0.0
2022-01-05 00:00:00.001000+00:00,3000.0,0.0,3000.0,0.0,0.0,0,0.0
2022-01-05 08:00:00.017000+00:00,3000.0,0.0,3000.0,0.0,0.0,0,0.0
2022-01-05 16:00:00+00:00,3000.0,0.0,3000.0,0.0,0.0,0,0.0
2022-01-06 00:00:00.002000+00:00,3000.0,0.0,3000.0,0.0,0.0,0,0.0
2022-01-06 08:00:00.021000+00:00,3000.0,0.149952,3000.149952,0.0,0.0,1,300.0
2022-01-06 16:00:00.006000+00:00,3000.0,0.16348200000000002,3000.163482,0.0,0.0,1,300.0
2022-01-07 00:00:00.005000+00:00,2999.563482,0.030000000000000002,2999.593482,-0.569999999999709,-0.01899896467040955,1,300.0
2022-01-07 08:00:00+00:00,2998.993482,0.0,2998.993482,-1.1700000000000728,-0.038997874849810356,0,0.0
2022-01-07 16:00:00.001000+00:00,2998.993482,0.10286999999999999,2999.096352,-1.0671299999999064,-0.035569061699548626,1,300.0
2022-01-08 00:00:00.014000+00:00,2998.993482,0.154068,2999.1475499999997,-1.015932000000248,-0.03386255469395278,1,300.0
2022-01-08 08:00:00.013000+00:00,2998.54755,0.030000000000000002,2998.57755,-1.585931999999957,-0.05286151936436232,1,300.0
2022-01-08 16:00:00+00:00,2997.9775499999996,0.0,2997.9775499999996,-2.185932000000321,-0.07286042954376314,0,0.0
2022-01-09 00:00:00.003000+00:00,2997.9775499999996,0.0,2997.9775499999996,-2.185932000000321,-0.07286042954376314,0,0.0
2022-01-09 08:00:00+00:00,2997.9775499999996,0.41457900000000003,2998.3921289999994,-1.7713530000005449,-0.059041882571669306,3,900.0
2022-01-09 16:00:00+00:00,2997.4296839999997,0.39245399999999997,2997.8221379999995,-2.3413440000003902,-0.07804054725843071,2,600.0
2022-01-10 00:00:00+00:00,2996.6221379999997,0.0,2996.6221379999997,-3.5413440000002083,-0.11803836761720202,0,0.0
2022-01-10 08:00:00.010000+00:00,2996.6221379999997,0.188562,2996.8106999999995,-3.3527820000003885,-0.11175331011513154,3,900.0
2022-01-10 16:00:00.007000+00:00,2995.4901239999995,0.160482,2995.6506059999992,-4.512876000000688,-0.15042100295788774,1,300.0
2022-01-11 00:00:00.013000+00:00,2995.0506059999993,0.014196,2995.0648019999994,-5.098680000000513,-0.16994673892242626,1,300.0
2022-01-11 08:00:00.004000+00:00,2994.4648019999995,0.384522,2994.8493239999993,-5.314158000000589,-0.17712894753515265,3,900.0
2022-01-11 16:00:00+00:00,2993.8948019999993,2.998533,2996.8933349999993,-3.270147000000634,-0.10899896021068342,3,900.0
2022-01-12 00:00:00.012000+00:00,2993.8948019999993,5.404589999999999,2999.2993919999994,-0.8640900000004876,-0.02880143049486287,3,900.0
2022-01-12 08:00:00.015000+00:00,2993.8948019999993,7.841781,3001.7365829999994,0.0,0.0,4,1200.0
2022-01-12 16:00:00+00:00,2994.0980039999995,8.573766,3002.6717699999995,0.0,0.0,4,1200.0
2022-01-13 00:00:00.007000+00:00,2993.9258879999993,9.532824,3003.458711999999,0.0,0.0,4,1200.0
2022-01-13 08:00:00+00:00,2993.410823999999,10.636974,3004.047797999999,0.0,0.0,4,1200.0
2022-01-13 16:00:00.014000+00:00,2993.410823999999,11.593866,3005.0046899999993,0.0,0.0,5,1500.0
2022-01-14 00:00:00+00:00,2992.830491999999,12.044789999999999,3004.875281999999,-0.12940800000023955,-0.004306415907798121,4,1200.0
2022-01-14 08:00:00.006000+00:00,2992.863269999999,11.159493000000001,3004.022762999999,-0.9819270000002689,-0.032676388268807297,2,600.0
2022-01-14 16:00:00.014000+00:00,2992.863269999999,12.102387,3004.965656999999,-0.039033000000472384,-0.0012989330808822262,2,600.0
2022-01-15 00:00:00+00:00,2992.863269999999,13.420341,3006.283610999999,0.0,0.0,2,600.0
2022-01-15 08:00:00.002000+00:00,2992.863269999999,14.445792,3007.309061999999,0.0,0.0,3,900.0
2022-01-15 16:00:00+00:00,2992.282832999999,14.950272,3007.233104999999,-0.0759570000000167,-0.002525746387685934,2,600.0
2022-01-16 00:00:00+00:00,2992.282832999999,15.551549999999999,3007.834382999999,0.0,0.0,2,600.0
2022-01-16 08:00:00.017000+00:00,2992.282832999999,15.936972,3008.219804999999,0.0,0.0,2,600.0
2022-01-16 16:00:00.011000+00:00,2992.282832999999,16.266665999999997,3008.549498999999,0.0,0.0,2,600.0
2022-01-17 00:00:00.005000+00:00,3004.182113999999,4.153440000000001,3008.335553999999,-0.21394499999996697,-0.007111234170189966,1,300.0
2022-01-17 08:00:00.006000+00:00,3004.182113999999,4.355343,3008.537456999999,-0.012041999999837572,-0.00040025932775379527,1,300.0
2022-01-17 16:00:00.012000+00:00,3004.182113999999,4.53816,3008.720273999999,0.0,0.0,1,300.0
2022-01-18 00:00:00.020000+00:00,3004.182113999999,5.153289000000001,3009.3354029999987,0.0,0.0,2,600.0
